43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 01  2010 12 01
0.0
time in minutes since 2010-12-01 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       960    937.64     -2.87     -4.25     90.17      0.54      0.00         0         0         2
       970    937.81     -3.04     -4.08     92.50      0.14      0.00         0         0         2
       980    937.99     -3.10     -4.38     90.84      0.08      0.00         0         0         2
       990    938.14     -3.01     -3.88     93.67      0.11      0.00         0         0         2
      1000    938.30     -2.92     -4.16     91.08      0.10      0.00         0         0         2
      1010    938.44     -2.91     -3.98     92.35      0.08      0.00         0         0         2
      1020    938.54     -3.04     -3.97     93.27      0.06      0.00         0         0         2
      1030    938.67     -2.90     -3.84     93.15      0.00      0.00         0         0         2
      1040    938.78     -2.84     -3.87     92.58     -0.05      0.00         0         0         2
      1050    938.92     -2.85     -3.96     91.98     -0.06      0.00         0         0         2
      1060    939.04     -2.86     -3.69     93.96     -0.06      0.00         0         0         2
      1070    939.19     -2.63     -3.40     94.42     -0.04      0.00         0         0         2
      1080    939.35     -2.64     -3.94     90.75     -0.05      0.00         0         0         2
      1090    939.49     -2.32     -3.58     91.03     -0.03      0.00         0         0         2
      1100    939.62     -2.42     -3.42     92.83     -0.07      0.00         0         0         2
      1110    939.85     -2.31     -3.02     94.90     -0.11      0.00         0         0         2
      1120    940.07     -2.23     -3.24     92.73     -0.11      0.00         0         0         2
      1130    940.20     -2.23     -3.39     91.74     -0.11      0.00         0         0         2
      1140    940.32     -2.17     -3.70     89.24     -0.12      0.00         0         0         2
      1150    940.50     -2.30     -3.75     89.73     -0.14      0.00         0         0         2
      1160    940.64     -2.32     -3.32     92.82     -0.15      0.00         0         0         2
      1170    940.80     -2.10     -3.64     89.16     -0.15      0.00         0         0         2
      1180    941.00     -2.35     -3.56     91.37     -0.14      0.00         0         0         2
      1190    941.16     -2.20     -3.54     90.51     -0.18      0.00         0         0         2
      1200    941.32     -2.29     -3.36     92.29     -0.18      0.00         0         0         2
      1210    941.52     -2.16     -3.37     91.37     -0.19      0.00         0         0         2
      1220    941.72     -2.29     -3.48     91.53     -0.21      0.00         0         0         2
      1230    941.88     -2.39     -3.35     93.12     -0.21      0.00         0         0         2
      1240    942.01     -2.28     -3.29     92.82     -0.24      0.00         0         0         2
      1250    942.20     -1.94     -3.62     88.21     -0.23      0.00         0         0         2
      1260    942.35     -2.29     -3.54     91.06     -0.23      0.00         0         0         2
      1270    942.51     -2.10     -3.66     89.01     -0.22      0.00         0         0         2
      1280    942.65     -2.41     -3.73     90.65     -0.23      0.00         0         0         2
      1290    942.75     -2.33     -3.27     93.24     -0.23      0.00         0         0         2
      1300    942.87     -2.24     -3.56     90.66     -0.18      0.00         0         0         2
      1310    943.01     -2.19     -3.77     88.86     -0.15      0.00         0         0         2
      1320    943.22     -2.53     -3.86     90.58     -0.09      0.00         0         0         2
      1330    943.39     -2.20     -2.99     94.29     -0.11      0.00         0         0         2
      1340    943.44     -2.00     -3.14     91.91     -0.13      0.00         0         0         2
      1350    943.63     -2.23     -3.56     90.62     -0.15      0.00         0         0         2
      1360    943.75     -1.85     -3.33     89.58     -0.16      0.00         0         0         2
      1370    943.85     -2.09     -3.86     87.64     -0.21      0.00         0         0         2
      1380    943.87     -2.06     -3.95     86.91     -0.29      0.00         0         0         2
      1390    944.00     -1.95     -3.66     88.06     -0.29      0.00         0         0         2
      1400    944.09     -1.88     -3.66     87.55     -0.29      0.00         0         0         2
      1410    944.05     -1.65     -4.13     83.14     -0.30      0.00         0         0         2
      1420    944.02     -1.99     -3.96     86.32     -0.29      0.00         0         0         2
      1430    944.16     -1.86     -3.86     86.15     -0.32      0.00         0         0         2
