;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;Hr;NO;NO2;NOx;O3;p;PM10;PM2.5;PN;SO2;StrGlo;T;WD;WVv;RainDur
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Kanalberechnungen (Eichkorrektur);;Kanalberechnungen (Eichkorrektur);Kanalberechnungen (Subtraktion);Kanalberechnungen (Eichkorrektur);Kanalberechnungen (Eichkorrektur);;Horizontale Verdichtung (Erster Messwert);Horizontale Verdichtung (Erster Messwert);;Kanalberechnungen (Eichkorrektur);;;;;
;ppm;%Hr;ppb;ppb;ppb;ppb;hPa;µg/m3;µg/m3;1/cm3;ppb;W/m2;°C;°;m/s;min
;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30
Startzeit;Berechnet;Final;Berechnet;Berechnet;Berechnet;Berechnet;Final;Berechnet;Berechnet;Final;Berechnet;Final;Final;Final;Final;Final
08.01.2017 17:00;0.28177;83.834;7.0105;24.4615;31.472;9.9815;978.5;17.79692;;14710;0.99609;0.027886;0.34178;322.08;0.66211;0
08.01.2017 17:30;0.31409;84.981;8.3661;26.2059;34.572;8.9987;978.65;20.435368;;16014;0.95035;0.032661;0.26672;358.93;0.55098;0
08.01.2017 18:00;0.33854;83.75;15.594;30.742;46.336;5.9291;978.71;15.504552;;17344;1.1819;0.031467;0.3;25.254;0.98651;0
08.01.2017 18:30;0.3829;84.991;21.457;35.513;56.97;2.8336;978.57;20.015128;;21533;1.0844;0.026584;0.18333;22.373;0.96368;0
08.01.2017 19:00;0.40089;85.975;14.487;33.095;47.582;2.3398;978.42;24.691328;;22104;0.94397;0.027018;0.13339;64.408;0.59968;0
08.01.2017 19:30;0.42777;86.632;26.693;38.51;65.203;1.1084;978.36;19.71272;;20209;1.1291;0.035916;0.091722;37.398;0.93707;0
08.01.2017 20:00;0.39207;88.282;17.669;37.843;55.512;0.48961;978.27;23.587168;;16388;0.97589;0.037109;0.050111;44.969;1.4057;0
08.01.2017 20:30;0.36506;88.741;13.042;36.237;49.279;0.69356;978.29;26.18936;;17936;1.0816;0.029731;0;50.264;1.0224;0
08.01.2017 21:00;0.45912;88.908;31.486;37.593;69.079;0.62344;978.25;27.962608;;21659;1.0397;0.025499;0.058278;35.286;1.1107;0
08.01.2017 21:30;0.37398;88.826;18.079;34.14;52.219;0.81283;978.32;32.183136;;27162;1.1987;0.036675;0.016833;28.479;0.98505;0
08.01.2017 22:00;0.33697;86.625;6.5041;23.1679;29.672;7.8827;978.38;22.500312;;20959;1.1523;0.03418;-0.1915;14.023;1.3444;0
08.01.2017 22:30;0.30748;85.55;4.1714;15.8296;20.001;12.662;978.39;22.640392;;14895;0.95242;0.03049;-0.2;24.488;1.9455;0
08.01.2017 23:00;0.28974;85.458;6.4959;18.0131;24.509;10.289;978.38;21.47196;;15266;1.0029;0.032335;-0.225;44.283;2.002;0
08.01.2017 23:30;0.27831;85.833;1.8532;16.2198;18.073;11.362;978.32;9.525608;;10596;0.88981;0.024631;-0.3;30.887;1.4723;0
09.01.2017 00:00;0.27228;85.658;2.1173;14.1287;16.246;12.27;978.25;18.738752;;9299.9;0.84998;0.028103;-0.3;22.955;1.4206;0
09.01.2017 00:30;0.26934;86.383;1.8226;16.0164;17.839;10.652;978.15;33.78252;;13503;0.84578;0.030707;-0.39167;27.592;1.2015;0
09.01.2017 01:00;0.26777;86.583;1.2147;15.0433;16.258;10.615;978.15;22.866168;;11897;0.88297;0.03201;-0.43333;28.054;1.0877;0
09.01.2017 01:30;0.26769;86.233;4.3639;15.1781;19.542;10.372;978.02;22.463232;;9051.2;0.88254;0.024957;-0.30833;15.067;1.4594;0
09.01.2017 02:00;0.26756;86.482;1.3365;14.0585;15.395;10.311;978.07;23.263336;;9093.2;0.93457;0.025174;-0.39156;357.85;1.284;0
09.01.2017 02:30;0.26553;86.875;2.1212;13.0638;15.185;11.511;978.03;21.901264;;8012.9;0.89113;0.029405;-0.43339;3.9962;1.0896;0
09.01.2017 03:00;0.26327;86.8;3.0291;13.8699;16.899;10.319;978.03;20.844072;;10726;1.0575;0.032769;-0.44178;30.265;1.0264;0
09.01.2017 03:30;0.26029;86.009;2.9578;13.8752;16.833;10.254;977.99;20.106592;;8471.5;0.93106;0.037326;-0.39156;31.107;0.75145;0
09.01.2017 04:00;0.26406;86.732;5.8945;16.8415;22.736;7.9693;977.83;18.042472;;9030.5;0.94072;0.03928;-0.45817;43.148;0.79238;0
09.01.2017 04:30;0.25811;87.419;1.3657;15.9983;17.364;7.6147;977.6;18.412448;;8437.2;0.88811;0.029839;-0.5085;42.485;0.56866;0
09.01.2017 05:00;0.26506;87.415;4.5943;21.1597;25.754;3.2094;977.4;25.83504;;14071;1.0566;0.031901;-0.48317;25.843;1.0283;0
09.01.2017 05:30;0.29203;88.009;17.233;23.766;40.999;2.5122;977.12;26.541208;;24384;1.1148;0.025065;-0.53328;31.721;0.97109;0
09.01.2017 06:00;0.28935;87.992;28.598;25.035;53.633;1.8456;976.97;19.921192;;17206;1.1011;0.032444;-0.69989;25.911;0.95944;0
09.01.2017 06:30;0.32158;88.29;45.662;29.882;75.544;0.59044;976.74;23.026024;;23567;1.1572;0.030056;-0.72478;14.006;0.79743;0
09.01.2017 07:00;0.36772;88.941;65.098;31.783;96.881;0.66083;976.61;30.294528;;32895;1.1885;0.032118;-0.68356;23.889;1.5315;0
09.01.2017 07:30;0.47042;88.217;71.751;35.479;107.23;0.52578;976.48;29.528208;;29567;1.2444;0.028537;-0.6;34.908;1.7414;0
09.01.2017 08:00;0.47456;87.709;82.671;40.389;123.06;0.5995;976.39;31.896384;;39316;1.2132;1.3385;-0.50844;30.613;1.4334;0
09.01.2017 08:30;0.42548;87.816;81.742;35.248;116.99;1.0103;976.48;;;32999;1.1613;13.152;-0.4;23.293;1.3915;0
09.01.2017 09:00;0.42446;87.485;84.354;35.116;119.47;1.038;976.49;;;36133;1.4031;26.001;-0.34183;35.647;1.8333;0
09.01.2017 09:30;0.45402;86.144;70.629;33.221;103.85;1.5748;976.37;;;23182;1.1579;35.859;-0.092167;27.158;1.4061;0
09.01.2017 10:00;0.43868;85.717;81.662;36.078;117.74;1.7624;976.36;;;24085;1.0424;45.1;0.11644;19.524;1.5155;0
09.01.2017 10:30;0.42497;85.584;58.387;33.3;91.687;2.2512;976.25;;;23828;1.1065;58.53;0.18311;358.56;0.8758;0
09.01.2017 11:00;0.45048;84.518;72.092;33.448;105.54;2.2061;975.95;;;23122;1.2055;71.284;0.31639;349.35;0.71327;0
09.01.2017 11:30;0.49871;83.734;81.056;39.604;120.66;2.1641;975.67;;;30390;1.268;64.387;0.49983;7.6107;0.7868;0
09.01.2017 12:00;0.46564;81.57;56.913;35.328;92.241;2.6974;975.32;;;22657;1.213;66.692;0.64972;19.071;0.99622;0
09.01.2017 12:30;0.49939;80.818;69.812;36.728;106.54;2.188;974.93;;;28846;1.1264;49.178;0.73333;18.964;1.1687;0
09.01.2017 13:00;0.42157;79.393;56.406;37.659;94.065;2.3396;974.56;;;21291;1.1691;39.653;0.77517;26.2;0.93968;0
09.01.2017 13:30;0.42184;79.824;48.488;37.504;85.992;2.2616;974.25;;;23029;1.2281;30.723;0.82489;339.24;0.84652;0
09.01.2017 14:00;0.41107;77.445;31.227;36.12;67.347;3.5228;973.94;;;27797;1.2026;24.518;0.70844;11.458;0.633;0
09.01.2017 14:30;0.39862;75.471;52.395;40.126;92.521;3.8336;973.63;;;22080;1.2673;15.761;0.7915;36.054;1.0793;0
09.01.2017 15:00;0.34994;;21.449;33.388;54.837;7.6337;973.43;;;35112;1.2986;6.9536;;311.72;0.54765;0
09.01.2017 15:30;0.34835;68.864;27.679;36.774;64.453;8.5648;973.31;23.168025;18.957375;24470;1.1611;4.8153;0.74754;348.19;0.58321;0
09.01.2017 16:00;0.37001;70.353;47.268;40.804;88.072;6.2971;973.18;22.694175;17.5705;33910;0.99468;1.1059;0.60844;343.42;0.080499;0
09.01.2017 16:30;0.30109;70.852;3.6916;24.6594;28.351;13.759;973.17;22.501125;18.4245;11385;0.95046;0.034397;0.5915;277.75;1.473;0
09.01.2017 17:00;0.29645;68.907;4.0424;22.3156;26.358;17.218;973.07;19.6161;16.300875;8537;0.83999;0.026816;0.51707;251.24;1.5746;0
09.01.2017 17:30;0.28268;67.125;2.0575;19.2675;21.325;20.414;972.86;16.75545;14.206125;8568.9;0.85804;0.028212;0.35033;253.67;1.8507;0
09.01.2017 18:00;0.28585;67.134;8.6009;25.2271;33.828;16.966;972.7;21.0864;18.00275;16036;0.83388;0.030707;0.32483;249.13;1.8301;0
09.01.2017 18:30;0.35824;66.534;6.7946;18.9494;25.744;19.556;972.6;20.104575;17.2065;8294.9;0.78147;0.028212;0.3;241.97;1.6262;0
09.01.2017 19:00;0.3329;67.547;8.7416;21.3424;30.084;16.962;972.24;21.087375;18.0255;9061.6;0.80584;0.025933;0.23322;219.94;1.1656;0
09.01.2017 19:30;0.29119;67.483;4.4993;18.4367;22.936;19.266;971.89;35.614875;30.090875;9416.3;0.81686;0.035807;0.21706;203.32;2.1551;0
09.01.2017 20:00;0.31409;67.899;3.1709;17.1821;20.353;20.208;971.54;28.815225;24.497;9220.6;0.78691;0.026584;0.041833;204.25;2.2563;0
09.01.2017 20:30;0.25246;67.792;2.0565;15.6175;17.674;21.798;971.04;25.0371;19.681875;10658;0.82393;0.029839;-0.049778;214.28;1.9381;0
09.01.2017 21:00;0.23519;66.86;2.2154;12.8066;15.022;23.463;970.8;23.95485;19.998625;6269.9;0.70692;0.030382;-0.16667;229.44;1.8794;0
09.01.2017 21:30;0.2316;68.088;1.3741;12.4159;13.79;22.618;970.62;24.416025;20.71875;6631.7;0.74512;0.039063;-0.22489;246.59;2.4712;0
09.01.2017 22:00;0.22632;68.011;1.7511;11.0039;12.755;23.606;970.16;23.485875;20.12375;5691.5;0.68594;0.031684;-0.43322;237.28;2.1256;0
09.01.2017 22:30;0.22878;67.457;4.8924;11.1556;16.048;23.16;969.6;24.87525;21.426625;5465.8;0.67155;0.027995;-0.38317;236.28;2.2327;0
09.01.2017 23:00;0.21197;67.275;1.6849;10.0681;11.753;24.709;969.2;26.9793;22.684;3501.4;0.66786;0.036675;-0.53328;234.69;2.2105;0
09.01.2017 23:30;0.19688;67.233;0.62639;7.46731;8.0937;28.286;968.68;21.520275;17.9975;3235.1;0.65162;0.034614;-0.53339;205.54;2.1674;0
10.01.2017 00:00;0.18845;67.525;1.0297;6.9835;8.0132;28.06;968.17;20.517975;17.457625;3511.7;0.63882;0.040256;-0.61656;197.27;3.7434;0
10.01.2017 00:30;0.17992;66.483;1.2738;7.5203;8.7941;28.785;967.48;18.03075;15.700625;3790.4;0.7012;0.032227;-0.52522;200.38;2.8287;0
10.01.2017 01:00;0.17309;67.133;0.78944;6.96196;7.7514;28.516;967.16;17.3463;14.57975;3984.7;0.68176;0.031684;-0.32494;201.02;2.9578;0
10.01.2017 01:30;0.17229;67.716;0.60039;6.41871;7.0191;28.422;966.69;17.45745;14.766125;3515.7;0.66018;0.028971;-0.475;211.49;2.1224;0
10.01.2017 02:00;0.16991;68.925;0.98933;6.78137;7.7707;27.969;966.26;16.7925;14.42225;3802.8;0.72767;0.032986;-0.4;198.57;2.6323;0
10.01.2017 02:30;0.17654;70.891;0.64161;7.67609;8.3177;25.856;965.76;18.318375;15.9185;4944.4;0.80227;0.022461;-0.45828;172.24;2.528;0
10.01.2017 03:00;0.18079;71.375;0.99828;7.41912;8.4174;25.488;965.15;20.13675;17.546;4832.2;0.73807;0.032118;-0.38333;174.32;2.5286;0
10.01.2017 03:30;0.17795;72.167;0.75289;7.05171;7.8046;27.034;964.69;18.59625;16.040125;3957.2;0.74187;0.024197;-0.3;191.91;1.8286;0
10.01.2017 04:00;0.17887;72.45;0.81533;9.22267;10.038;24.56;964.2;17.02065;14.767875;5759.2;0.77825;0.020833;-0.15006;193.07;1.9103;0
10.01.2017 04:30;0.17884;75.485;1.1401;9.7879;10.928;23.198;963.68;17.1669;14.8615;5919.5;0.71053;0.031684;-0.34178;200.23;2.3956;0
10.01.2017 05:00;0.17884;78.407;1.4768;11.1452;12.622;21.648;963.19;17.90595;14.899125;7604.8;0.76326;0.044162;-0.60822;201.19;2.1208;0
10.01.2017 05:30;0.17789;75.681;2.9188;13.4902;16.409;20.072;962.79;19.6824;15.954375;9278.4;0.74507;0.027235;-0.52533;169.43;2.3728;0
10.01.2017 06:00;0.1842;74.316;4.551;15.546;20.097;18.251;962.36;19.562475;16.048875;11171;0.82857;0.031684;-0.42489;166.66;1.9465;0
10.01.2017 06:30;0.19016;74.6;9.6162;20.0078;29.624;15.926;961.96;18.577725;15.677875;15320;0.90599;0.035265;-0.44178;160.77;2.1102;0
10.01.2017 07:00;0.21182;76.053;9.3907;20.3773;29.768;15.346;961.61;17.92545;15.18525;12763;0.81419;0.03852;-0.42483;167.47;2.1791;0
10.01.2017 07:30;0.22536;78.854;25.175;25.471;50.646;12.283;961.25;17.743125;14.981375;15731;0.75125;0.031033;-0.53333;169.3;1.78;0
10.01.2017 08:00;0.22468;82.468;22.619;29.655;52.274;11.236;960.7;17.0343;14.486125;16656;0.74812;1.0222;-0.68311;160.27;2.2446;11.533
10.01.2017 08:30;0.23458;86.529;33.385;28.127;61.512;10.235;960.36;17.28975;14.38375;19578;0.7316;8.5194;-0.783;163.83;1.5513;30
10.01.2017 09:00;0.22609;88.432;18.08;27.552;45.632;10.748;960.12;17.631;14.825625;17223;0.72122;18.61;-0.80844;167.4;1.5532;30
10.01.2017 09:30;0.24899;90.073;21.089;27.281;48.37;10.649;959.82;17.3151;14.636625;19930;0.71383;25.081;-0.85822;168.31;1.8075;30
10.01.2017 10:00;0.23768;90.856;28.61;28.622;57.232;9.1518;959.71;18.312525;15.292875;21143;0.68956;45.655;-0.87517;174.03;1.9006;30
10.01.2017 10:30;0.24371;91.509;24.84;28.832;53.672;9.5792;959.54;19.821825;15.446;14799;0.68862;63.334;-0.64161;168.01;1.572;30
10.01.2017 11:00;0.29471;91.218;39.528;31.498;71.026;8.1821;959.11;19.340175;15.12575;25158;0.70423;73.753;-0.52544;166.93;1.5215;30
10.01.2017 11:30;0.29592;89.884;41.747;31.882;73.629;8.5619;958.78;19.979775;15.039125;34618;0.70741;84.922;-0.15033;173.48;1.5328;30
10.01.2017 12:00;0.30656;89.493;22.868;26.593;49.461;12.565;958.49;18.05805;14.113375;28798;0.68992;66.467;-0.10838;170.96;1.9543;30
10.01.2017 12:30;0.33275;90.663;23.544;28.074;51.618;11.862;958.24;18.40125;14.181625;18256;0.66303;46.775;-0.058056;180.79;1.6099;30
10.01.2017 13:00;0.28655;90.39;19.654;26.594;46.248;13.2;958.04;16.471725;13.479875;16755;0.61748;37.18;-0.15806;163.99;2.2485;30
10.01.2017 13:30;0.2836;92.29;21.258;29.301;50.559;11.846;957.89;16.869525;13.497375;19972;0.61988;49.713;-0.26667;169.92;2.1731;30
10.01.2017 14:00;0.25972;91.409;16.683;26.508;43.191;14.213;957.94;16.24845;12.594375;12005;0.62987;48.617;-0.00033333;167.74;1.9566;30
10.01.2017 14:30;0.26155;92.632;30.563;32.164;62.727;11.621;957.97;17.35995;13.23925;14907;0.63347;52.991;0.12483;182.51;1.8356;30
10.01.2017 15:00;0.24467;92.058;24.249;28.686;52.935;12.956;958.07;15.598125;12.494625;11622;0.61667;36.259;0.28317;180.2;1.9316;30
10.01.2017 15:30;0.24827;93.4;17.584;31.044;48.628;11.259;958.36;16.70475;13.00475;13920;0.62245;17.962;0.36667;178.12;1.7358;30
10.01.2017 16:00;0.32848;93.65;33.459;36.379;69.838;6.8781;958.76;15.252975;12.526125;19646;0.63481;7.2562;0.42489;165.98;1.3653;30
10.01.2017 16:30;0.32849;93.592;44.279;42.074;86.353;4.2216;959.18;18.69765;13.78875;26006;0.61026;0.85579;0.55828;207.65;0.66381;30
10.01.2017 17:00;0.37572;94.058;48.745;42.319;91.064;2.2181;959.58;17.612475;13.908625;16631;0.61294;0.042318;0.57511;255.4;0.48495;30
10.01.2017 17:30;0.40058;94.808;50.117;42.495;92.612;0.76239;959.87;18.34275;15.2115;15698;0.64202;0.032552;0.46661;262.95;0.48251;30
10.01.2017 18:00;0.42142;94.125;45.75;43.515;89.265;0.68061;960.15;18.6606;15.835375;18449;0.66644;0.034722;0.59156;266.92;0.46474;30
10.01.2017 18:30;0.40139;94.568;23.705;38.375;62.08;1.6404;960.54;18.866325;16.034;17440;0.6619;0.040582;0.50839;306.51;0.90847;22.883
10.01.2017 19:00;0.39635;93.842;19.509;33.706;53.215;1.9249;960.91;19.710675;16.818875;13801;0.71443;0.035699;0.49156;296.87;0.55628;0
10.01.2017 19:30;0.39311;93.374;23.571;34.948;58.519;0.94022;961.38;20.874825;17.690375;16692;0.72469;0.03201;0.66672;305.74;0.50341;0
10.01.2017 20:00;0.45916;93.925;18.547;33.568;52.115;1.6936;961.67;22.772175;19.22075;14758;0.67974;0.032878;0.63333;235.37;0.75426;26.45
10.01.2017 20:30;0.36074;93.193;21.686;31.031;52.717;2.8283;961.85;22.286625;18.7115;14875;0.72897;0.038086;0.808;233.44;0.89737;30
10.01.2017 21:00;0.39528;92.26;12.835;28.945;41.78;3.9732;962.03;22.719525;19.251375;12211;0.71796;0.03049;0.92489;229.65;0.7809;15.283
10.01.2017 21:30;0.35632;90.302;12.33;24.925;37.255;6.9761;962.32;21.6675;18.395625;9401.4;0.67645;0.024089;1.0667;247.17;1.0434;0
10.01.2017 22:00;0.32364;89.984;5.0881;20.5409;25.629;9.0289;962.53;20.904075;18.1305;7817.3;0.71021;0.03125;1.1248;263.37;1.1086;0
10.01.2017 22:30;0.31171;90.13;3.9378;22.8962;26.834;6.3692;962.74;21.709425;18.694875;9580.1;0.69794;0.040365;1.1419;288.02;0.55006;0
10.01.2017 23:00;0.28002;90.619;2.0218;18.5542;20.576;9.9745;962.89;22.38705;19.0545;6656.1;0.62548;0.026584;1.0915;251.04;1.4878;0
10.01.2017 23:30;0.25682;89.959;0.68839;14.56861;15.257;13.005;963.04;21.2346;18.049125;5314.7;0.64028;0.027127;1.1916;257.65;1.4662;0
11.01.2017 00:00;0.25079;89.708;1.6073;16.2027;17.81;11.421;963.47;21.29505;18.393;6121.7;0.62494;0.026042;1.2582;276.48;0.70062;0
11.01.2017 00:30;0.24528;90.332;1.8383;16.9057;18.744;10.307;963.68;22.325625;18.875125;6595.1;0.64943;0.03049;1.2418;299.38;0.6118;0
11.01.2017 01:00;0.23839;90.543;2.1602;16.3728;18.533;10.6;963.83;22.5372;19.10175;6118.4;0.63995;0.025499;1.2333;294.68;0.64916;0
11.01.2017 01:30;0.2241;89.9;3.4014;14.0216;17.423;12.804;963.79;21.0123;18.14275;4916.9;0.6293;0.036458;1.2916;248.63;1.0153;0
11.01.2017 02:00;0.21733;88.717;0.86294;12.65806;13.521;13.787;964.01;19.357725;16.871375;5688.2;0.64497;0.032335;1.3916;226.35;0.84048;0
11.01.2017 02:30;0.21369;88.742;1.7915;14.3525;16.144;13.559;964.34;19.086675;16.36475;6338.8;0.69959;0.027995;1.4916;277.97;0.64973;0
11.01.2017 03:00;0.21827;89.666;1.1365;13.8995;15.036;12.739;964.6;19.931025;16.916875;5785.3;0.68594;0.028754;1.4418;304.96;0.72419;0
11.01.2017 03:30;0.21202;89.902;2.7247;14.2633;16.988;12.904;964.71;20.389275;17.7385;6616.6;0.65497;0.031359;1.3667;263.71;0.73643;0
11.01.2017 04:00;0.20839;88.333;3.3832;14.0808;17.464;12.233;964.74;19.1013;16.596625;6739.4;0.73827;0.030273;1.4333;302.57;0.49693;0
11.01.2017 04:30;0.21075;89.433;1.8829;17.1881;19.071;9.0314;964.88;20.597925;17.643125;8851.7;0.89851;0.028754;1.4084;316.15;0.65134;0
11.01.2017 05:00;0.22276;89.675;2.7348;18.0002;20.735;8.5455;964.91;21.299925;18.34225;8930.8;0.8377;0.023329;1.3333;312.08;0.59268;0
11.01.2017 05:30;0.22781;90.009;6.9162;22.0288;28.945;5.67;964.91;21.999;18.785875;11304;0.76907;0.038194;1.2333;46.295;0.19837;0
11.01.2017 06:00;0.23332;88.674;23.534;26.321;49.855;3.8122;964.92;22.47675;18.976625;12421;0.86563;0.036784;1.3418;321.2;0.31525;0
11.01.2017 06:30;0.23541;88.301;10.723;24.837;35.56;5.4003;965.09;21.582675;18.162;12156;0.90889;0.035482;1.3166;267.38;0.81537;0
11.01.2017 07:00;0.26022;86.342;28.227;30.87;59.097;3.5997;965.33;20.4741;17.020125;38176;0.80666;0.023546;1.5166;245.21;1.0544;0
11.01.2017 07:30;0.27396;83.676;23.89;29.326;53.216;6.6532;965.59;19.065225;15.635875;18804;0.72227;0.033312;1.8082;227.03;1.3937;0
11.01.2017 08:00;0.28232;83.183;37.315;36.511;73.826;2.6718;965.86;22.079925;17.182875;26023;0.76252;2.2265;1.8417;236.87;1.0822;0
11.01.2017 08:30;0.32327;84.264;38.048;36.931;74.979;2.7251;965.88;20.712;16.353375;17631;0.83987;15.226;1.7914;243.62;1.0985;0
11.01.2017 09:00;0.28525;81.405;23.815;28.118;51.933;7.9259;965.83;20.393175;15.13625;18911;0.79018;40.586;1.7665;237.89;1.7926;0
11.01.2017 09:30;0.34051;77.18;11.978;20.156;32.134;14.601;965.78;15.091125;11.65025;14157;0.75751;71.682;2.1164;239.32;2.2473;0
11.01.2017 10:00;0.26422;75.41;10.474;20.024;30.498;15.776;965.72;15.346575;12.2085;13223;0.77021;109.77;2.183;237.09;2.6217;0
11.01.2017 10:30;0.24051;69.373;6.2798;13.0772;19.357;23.156;965.9;16.079775;9.114675;9976.7;0.76822;131.59;2.4993;238.36;3.2431;0
11.01.2017 11:00;0.22798;66.689;8.8206;16.0394;24.86;21.696;966.33;;20.437;11431;0.77376;156.31;2.7;240.22;2.7051;0
11.01.2017 11:30;0.25024;71.491;13.219;17.809;31.028;18.649;966.52;14.289675;9.964125;16307;0.79563;243.97;2.5171;250.19;2.1434;0
11.01.2017 12:00;0.28233;68.808;9.393;14.941;24.334;22.749;966.1;14.831775;10.56175;11606;0.76901;211.95;2.5333;225.25;2.8246;0
11.01.2017 12:30;0.22807;64.162;3.3565;8.6155;11.972;29.197;965.74;10.18395;7.3008875;6817.9;0.75412;199.06;2.7909;228.04;4.3788;0
11.01.2017 13:00;0.21085;64.125;5.4954;12.6596;18.155;26.538;965.35;9.9629175;7.494525;11548;0.77394;205.21;2.9333;237.06;3.2677;0
11.01.2017 13:30;0.20962;63.226;4.8931;10.1209;15.014;29.359;964.35;8.49018;6.375575;11928;0.7571;174.75;3.1163;208.93;4.783;0
11.01.2017 14:00;0.19751;62.244;8.0759;12.8391;20.915;28.288;963.74;7.8183075;5.57635;11153;0.75607;276.86;3.6568;229.71;3.3876;0
11.01.2017 14:30;0.1919;62.371;2.9654;9.0996;12.065;30.901;963.42;9.3919575;7.0665625;7937.4;0.75236;97.556;3.7843;238.1;3.7505;0
11.01.2017 15:00;0.18407;63.591;2.1988;10.0642;12.263;29.964;962.99;7.728705;5.37615;8575.1;0.71905;63.685;3.6;241.29;3.2325;0
11.01.2017 15:30;0.18452;63.65;2.721;11.095;13.816;28.968;962.34;8.84703;6.4278125;9215.4;0.73365;34.595;3.6497;243.56;3.3763;0
11.01.2017 16:00;0.18753;68.41;1.4063;10.1627;11.569;29.26;962.25;7.7371875;4.770825;8928.6;0.73014;11.937;3.4922;244.65;4.67;14.216
11.01.2017 16:30;0.19421;68.685;2.6833;11.4387;14.122;28.291;962.42;7.2046425;5.0937;9108.3;0.69393;2.0145;3.6078;245.32;4.8671;0
11.01.2017 17:00;0.19473;66.582;3.8387;12.9933;16.832;25.851;962.73;7.2931725;5.5725875;9961.2;0.71751;0.052083;3.5256;239.23;4.1215;0
11.01.2017 17:30;0.19659;67.327;4.1483;13.3667;17.515;24.878;962.89;8.854245;6.460975;10127;0.70192;0.025282;3.3916;243.23;3.6972;0
11.01.2017 18:00;0.20751;66.94;1.7321;9.7309;11.463;29.041;962.53;7.5815775;5.8301875;7581;0.67042;0.02908;3.7079;238.34;4.9014;0
11.01.2017 18:30;0.17805;69.594;1.2411;8.7849;10.026;30.631;962.58;6.7031025;4.4867125;7324.2;0.66174;0.039388;3.7836;241.16;5.3072;17.817
11.01.2017 19:00;0.17882;75.194;4.4242;8.9428;13.367;29.553;962.8;6.1748475;4.5362375;7539.2;0.60287;0.027886;3.2423;245.86;5.2933;30
11.01.2017 19:30;0.17471;77.12;0.91144;8.51726;9.4287;28.685;963.14;7.8518475;6.0933;7097.5;0.59642;0.032335;3.3331;245.64;5.4846;29.95
11.01.2017 20:00;0.17478;85.826;1.1319;9.6351;10.767;25.861;963.48;8.19105;6.76495;6827.4;0.57779;0.031901;2.9004;244.61;4.1508;30
11.01.2017 20:30;0.17061;85.508;0.70383;7.39657;8.1004;27.319;963.78;8.11032;6.4909;5239.2;0.55137;0.029622;3.1831;248.03;4.9489;30
11.01.2017 21:00;0.16669;86.199;0.672;6.9373;7.6093;27.883;964.31;6.7787625;5.4413375;4705;0.53874;0.026693;3.3916;246.78;4.4525;30
11.01.2017 21:30;0.16424;87.408;0.52011;7.22939;7.7495;27.082;964.63;6.369555;4.95825;5217.7;0.52816;0.028429;3.4582;250.37;3.2361;30
11.01.2017 22:00;0.16637;88.148;0.59256;6.88834;7.4809;27.071;964.93;6.0221625;5.0124125;4981.8;0.56555;0.031141;3.6249;248.17;3.4113;30
11.01.2017 22:30;0.16321;87.463;0.96522;6.07448;7.0397;27.753;965.23;5.6424975;4.417325;3735.7;0.5665;0.024306;3.8243;243.93;4.1756;21.533
11.01.2017 23:00;0.15677;83.611;0.42472;4.69708;5.1218;28.986;965.4;3.9387825;3.301175;3268.5;0.56188;0.023438;4.4243;241.15;5.2026;0.05
11.01.2017 23:30;0.15233;83.093;0.28967;4.42063;4.7103;29.731;965.37;3.5025675;2.892025;2865.2;0.5745;0.030273;4.683;247.12;4.6812;3.35
12.01.2017 00:00;0.14776;82.134;0.33433;3.55957;3.8939;30.412;965.49;3.591975;2.7368;2735;0.59774;0.026042;4.925;247.42;5.7983;1.1833
12.01.2017 00:30;0.14284;82.626;0.24928;3.61882;3.8681;30.074;965.75;3.4871625;2.8567625;2616.4;0.60369;0.03125;4.7999;250.09;4.7445;11.316
