43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 03  2010 12 03
0.0
time in minutes since 2010-12-03 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       520    948.13     -3.37     -5.78     83.36      3.70      0.00      1.54      1.62     17.00      2.92      6.00      1.47      0.46         0         0         2       128
       530    948.16     -4.11     -6.13     85.76      3.85      0.00      2.12      2.18     27.00      3.51     20.00      1.89      0.97         0         0         2       128
       540    948.12     -3.91     -5.92     85.88      3.88      0.00      1.95      2.04     19.00      3.52      7.00      1.84      0.63         0         0         2       128
       550    948.19     -4.39     -6.16     87.38      3.92      0.00      3.27      3.34    352.00      5.04    346.00      3.24     -0.45         0         0         2       128
       560    948.34     -4.58     -6.31     87.69      4.00      0.00      3.77      3.86    352.00      5.65     13.00      3.74     -0.50         0         0         2       128
       570    948.40     -4.30     -6.46     84.82      3.92      0.00      3.69      3.80      0.00      6.67     13.00      3.69      0.02         0         0         2       128
       580    948.48     -4.49     -6.54     85.51      3.84      0.00      4.77      4.79     17.00      6.60     14.00      4.56      1.38         0         0         2       128
       590    948.39     -3.87     -6.19     83.86      3.89      0.00      2.70      2.76     10.00      4.71     17.00      2.66      0.48         0         0         2       128
       600    948.28     -4.04     -6.50     83.00      4.10      0.00      2.50      2.61     26.00      5.64     25.00      2.25      1.10         0         0         2       128
       610    948.35     -3.95     -6.50     82.38      4.02      0.00      2.83      2.92     26.00      5.16     32.00      2.55      1.23         0         0         2       128
       620    948.24     -3.86     -6.60     81.25      4.11      0.00      3.59      3.64     20.00      5.79     18.00      3.38      1.21         0         0         2       128
       630    948.14     -4.47     -6.69     84.45      4.03      0.00      2.33      2.44     37.00      4.85     22.00      1.86      1.40         0         0         2       128
