;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO;Hr;NO;NO;NO2;NO2;NOx;O3;O3;p;PM10;RainDur;SO2;SO2;StrGlo;T;WD;WVv
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Vektorielle Windmittelung(Richtung));Vertikale Verdichtung (Vektorielle Windmittelung(Betrag))
;mg/m3;ppm;%Hr;µg/m3;ppb;µg/m3;ppb;ppb;µg/m3;ppb;hPa;µg/m3;min;µg/m3;ppb;W/m2;°C;°;m/s
;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1
Startzeit;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet
11.01.2013 02:00;0.2705579;0.232405;90.476;0.423006123;0.33914;14.03909947;7.34151;7.68065;29.30854341;14.691;960.36;5.5656576;60;0.755948468;0.283925;0.0118815;3.16005;248.501544;1.532638541
11.01.2013 03:00;0.259824293;0.223185;91.723;1.136649657;0.911295;15.9423926;8.336805;9.2481;28.03473598;14.0525;959.915;7.0719512;60;0.822457556;0.308905;0.0100913;2.9194;225.5779968;0.509608396
11.01.2013 04:00;0.262973361;0.22589;94.345;3.590887177;2.87895;22.14346289;11.57955;14.4585;21.31158634;10.6825;959.71;6.9558864;60;1.251465134;0.470035;0.015191;2.978;163.6231819;1.995853101
11.01.2013 05:00;0.276198282;0.23725;94.9865;4.873413702;3.9072;25.71705568;13.4483;17.3555;18.66541848;9.3561;959.915;8.5153744;60;1.123984945;0.422155;0.00824655;2.66805;164.4901442;1.378393733
11.01.2013 06:00;0.338067861;0.290395;94.403;21.64061606;17.3501;43.10952856;22.5434;39.8935;8.569023284;4.29525;960.565;6.9596624;60;1.696194736;0.63707;0.013075;2.4533;38.39976187;0.909477192
11.01.2013 07:00;0.442819479;0.380375;93.22;66.40512612;53.2395;60.66837071;31.7255;84.965;4.509298255;2.2603;961.43;9.2699136;60;1.954030607;0.73391;0.0176865;1.9027;48.28348012;1.14471151
11.01.2013 08:00;0.466812932;0.400985;92.577;63.93050164;51.2555;57.8075842;30.2295;81.485;3.920972787;1.9654;962.3;8.133668;60;1.361332928;0.5113;2.735695;1.93475;165.0002722;0.567937374
11.01.2013 09:00;0.520021119;0.44669;93.3865;93.14828316;74.6805;69.4821174;36.3345;111.015;2.20836513;1.10695;963.095;9.8669936;36.983;1.308016496;0.491275;17.4975;2.1179;197.4192079;0.678851814
11.01.2013 10:00;0.562553908;0.483225;91.717;65.94487591;52.8705;58.47401742;30.578;83.4485;3.767657045;1.88855;963.775;12.894024;0;1.494444291;0.561295;65.004;2.6148;207.2861172;0.532498248
11.01.2013 11:00;0.51109779;0.439025;90.829;76.28179648;61.158;61.25353159;32.0315;93.1895;3.603568304;1.8063;964.05;14.230256;0;1.591518804;0.597755;80.9845;2.93195;272.3021174;0.646797423
11.01.2013 12:00;0.497378099;0.42724;90.3075;50.28202461;40.313;54.58441864;28.544;68.857;3.912693537;1.96125;964.145;13.46656;0;1.917274884;0.720105;48.262;3.09995;290.2707933;1.056644747
11.01.2013 13:00;0.438552812;0.37671;88.973;33.13489755;26.5655;48.96802158;25.607;52.1725;5.342509959;2.67795;964.335;16.715336;0;3.142541082;1.1803;45.629;3.1654;289.0547392;1.032723112
11.01.2013 14:00;0.420508246;0.36121;86.269;17.3541773;13.9135;41.40204441;21.6505;35.564;8.626279781;4.32395;964.86;13.2174856;0.68333;1.917581071;0.72022;33.2365;3.36805;263.0862607;1.257373697
11.01.2013 15:00;0.453832485;0.389835;83.642;30.41393318;24.384;43.72069659;22.863;47.247;8.423188792;4.22215;965.425;13.338648;0;1.658081142;0.622755;37.545;3.42065;253.9882594;1.659444669
11.01.2013 16:00;0.469670958;0.40344;81.12;21.17899382;16.98;43.65567871;22.829;39.809;10.01469996;5.0199;965.81;16.661528;0;1.528990144;0.57427;14.63985;3.4654;235.927452;1.573323238
11.01.2013 17:00;0.460520617;0.39558;81.3525;17.98418376;14.4186;46.09748239;24.1059;38.5245;9.943179209;4.98405;966.075;18.500912;0;1.722753109;0.647045;0.02859155;3.17665;250.1247238;1.04820121
11.01.2013 18:00;0.477668776;0.41031;80.5435;20.26223526;16.245;51.56395587;26.9645;43.2095;8.995753761;4.50915;966.13;17.428528;0;1.772035864;0.665555;0.0129665;3.0681;212.7514178;1.117547993
11.01.2013 19:00;0.493879781;0.424235;82.6315;32.1027646;25.738;51.4884204;26.925;52.663;5.436274954;2.72495;966.15;19.341544;1;2.092600082;0.785955;0.0142145;3.032;164.8877265;1.550076017
11.01.2013 20:00;0.455089784;0.390915;82.216;14.30873029;11.47185;47.41648473;24.79565;36.2675;7.712071081;3.8657;966.285;20.407792;35.2833;2.143493645;0.80507;0.0107965;2.98195;218.480879;1.178286859
11.01.2013 21:00;0.410473139;0.35259;84.933;6.950526683;5.5725;35.44525966;18.5355;24.108;15.83281789;7.93625;966.375;18.107264;60;1.808804899;0.679365;0.0111763;2.72935;231.1419716;1.18411137
11.01.2013 22:00;0.379488872;0.325975;86.9265;4.696298442;3.7652;30.64980889;16.0278;19.793;18.96456872;9.50605;966.57;15.2696;51.033;1.910844963;0.71769;0.011556;2.6334;270.0910363;0.825178355
11.01.2013 23:00;0.344441668;0.29587;86.072;3.390759405;2.7185;30.01244249;15.6945;18.413;19.44885494;9.7488;966.755;17.41012;15.3167;1.691854872;0.63544;0.01117645;2.71815;301.7137663;1.326434668
12.01.2013 00:00;0.324319066;0.278585;86.894;3.257673502;2.6118;28.11009595;14.6997;17.3115;22.39187878;11.224;966.615;20.158104;9.19997;1.586034068;0.595695;0.0060764;2.39865;262.5394994;1.140144792
12.01.2013 01:00;0.319935982;0.27482;84.097;2.967553716;2.3792;26.82714028;14.0288;16.408;22.41881128;11.2375;966.475;21.424008;1.5833;1.578406024;0.59283;0.00802955;2.4347;239.4303582;1.401299281
12.01.2013 02:00;0.290692143;0.2497;79.173;1.816341942;1.45623;19.53169484;10.21377;11.67;32.39181574;16.2365;966.195;18.669416;0;1.576861778;0.59225;0.00998255;2.56535;248.5181839;1.319897595
12.01.2013 03:00;0.287583821;0.24703;81.5325;1.411808192;1.1319;20.08880242;10.5051;11.637;28.93647593;14.5045;965.835;18.491;0;1.578312837;0.592795;0.0131295;2.4307;254.8478029;0.95644726
12.01.2013 04:00;0.273817563;0.235205;78.094;3.326523941;2.667;21.39470557;11.188;13.855;31.09107581;15.5845;965.445;17.975104;0;1.602648027;0.601935;0.014974;2.5207;240.4378241;1.467398947
12.01.2013 05:00;0.256343438;0.220195;73.8515;0.949637146;0.76136;17.45288214;9.12669;9.88805;39.63067284;19.865;965.325;18.332408;0;1.814862072;0.68164;0.01052525;2.5487;243.6535057;1.162327944
12.01.2013 06:00;0.259085048;0.22255;78.133;5.160851813;4.13765;26.96300852;14.09985;18.2375;29.11901842;14.596;965.42;16.030464;0;2.611946065;0.981015;0.01231555;2.39995;273.8993968;0.527741036
12.01.2013 07:00;0.240376907;0.20648;73.2265;1.338860404;1.073415;20.24462541;10.586585;11.66;40.11446032;20.1075;965.48;17.828312;0;2.211733354;0.8307;0.0130752;2.4833;230.9039091;1.386986866
12.01.2013 08:00;0.269620746;0.2316;71.7545;6.060460134;4.8589;26.88030196;14.0566;18.9155;38.33192792;19.214;965.31;13.584088;0;2.392902724;0.898745;17.7442;2.65005;264.7054088;0.730459962
12.01.2013 09:00;0.275598736;0.236735;72.3195;6.359747506;5.09885;23.37612532;12.22415;17.323;41.45510025;20.7795;965.185;13.94564;0;2.373626271;0.891505;70.2855;2.5988;263.108822;0.643184205
12.01.2013 10:00;0.279324066;0.239935;68.4285;10.19884551;8.1768;25.11258066;13.1322;21.309;43.10297016;21.6055;965.09;12.464504;0;2.350768764;0.88292;176.79;2.94545;201.9630659;0.840589212
12.01.2013 11:00;0.326996646;0.280885;63.594;10.81226301;8.6686;22.33153666;11.6779;20.3465;51.10391722;25.616;964.7;14.4717784;0;2.227002754;0.836435;268.62;3.52715;244.9482272;0.885012668
12.01.2013 12:00;0.261314425;0.224465;60.519;7.679755113;6.15715;15.80861832;8.26685;14.424;56.37071693;28.256;964.125;23.209584;0;2.157831173;0.810455;278.97;4.13735;271.2513353;1.078082462
12.01.2013 13:00;0.27365458;0.235065;60.575;7.093091995;5.6868;19.31260373;10.0992;15.786;54.22908455;27.1825;963.625;16.849384;0;2.242724778;0.84234;234.055;4.39745;223.3152885;0.915879616
12.01.2013 14:00;0.28384685;0.24382;59.9215;12.09722175;9.6988;23.35614188;12.2137;21.9125;52.32984465;26.2305;963.48;17.803768;0;1.716682624;0.644765;218.16;4.3499;167.0942005;1.706597732
12.01.2013 15:00;0.292362721;0.251135;56.034;9.795347007;7.8533;26.28481471;13.7452;21.5985;51.77722968;25.9535;963.3;15.46076;0;1.558703572;0.58543;117.4035;4.35275;171.9526094;1.464464552
12.01.2013 16:00;0.3449539;0.29631;64.5695;10.46850973;8.393;35.31904849;18.4695;26.8625;40.3867778;20.244;963.055;16.481224;0;1.92415743;0.72269;17.76085;4.2099;153.3540211;1.211827331
12.01.2013 17:00;0.45084058;0.387265;70.204;25.81517286;20.697;61.96585978;32.404;53.101;17.86213178;8.95345;962.915;18.350344;0;2.7612587;1.037095;0.014648;3.59185;169.6391939;1.234297931
12.01.2013 18:00;0.585860503;0.503245;72.0545;14.97746512;12.008;56.41065602;29.499;41.507;18.80646498;9.4268;962.85;23.571136;0;3.045892568;1.144;0.01106755;3.196;157.9632241;1.055688567
12.01.2013 19:00;0.50997437;0.43806;74.9985;15.66596952;12.56;53.67512453;28.0685;40.6285;16.79490659;8.4185;962.705;23.293128;0;2.834450647;1.064585;0.010471;2.76395;118.6855778;0.772662554
12.01.2013 20:00;0.455159634;0.390975;76.2125;9.199142116;7.3753;45.00231365;23.5332;30.9085;21.11348285;10.5832;962.655;26.570696;0;2.728536655;1.024805;0.01209855;2.7126;155.0098589;1.074989768
12.01.2013 21:00;0.493856498;0.424215;78.985;10.28634294;8.24695;44.50865587;23.27505;31.522;16.94064133;8.49155;962.885;29.066632;0;2.688306378;1.009695;0.013726;2.51665;151.6145345;1.095779559
12.01.2013 22:00;0.427196377;0.366955;77.5305;10.29083318;8.25055;44.61268447;23.32945;31.58;17.41455355;8.7291;962.795;22.685192;0;2.740597751;1.029335;0.013455;2.364;97.1121973;0.613758451
12.01.2013 23:00;0.470922436;0.404515;79.0915;11.8253124;9.4808;43.73255279;22.8692;32.35;13.76290575;6.8987;962.555;23.115656;0;2.582805073;0.97007;0.0166555;2.17915;60.00230534;0.545216998
13.01.2013 00:00;0.423686418;0.36394;78.438;12.96427579;10.39395;39.21256746;20.50555;30.8995;18.91599047;9.4817;962.245;19.112624;0;2.281623808;0.85695;0.00971155;2.1321;148.2287527;0.647337953
13.01.2013 01:00;0.454327256;0.39026;83.666;8.755543226;7.01965;45.08387283;23.57585;30.5955;7.121551113;3.5697;962.345;22.617224;4.2;2.275886135;0.854795;0.013726;1.55985;37.06840198;1.325117649
13.01.2013 02:00;0.460800016;0.39582;89.216;21.74526374;17.434;50.1268696;26.213;43.647;9.260789496;4.642;962.335;23.34552;59.1;1.984329783;0.74529;0.0155165;1.3153;151.1143599;0.192861808
13.01.2013 03:00;0.370047489;0.317865;92.6755;5.979386248;4.7939;33.09715821;17.3076;22.1015;23.76054846;11.91005;962.035;21.316864;60;1.723232358;0.647225;0.01079655;1.1446;179.3698806;0.549165432
13.01.2013 04:00;0.383930164;0.32979;92.351;11.77273911;9.43865;40.49915648;21.17835;30.617;15.31232242;7.67535;961.6;18.291344;60;1.996084692;0.749705;0.0121525;1.02075;48.00396307;0.360710303
13.01.2013 05:00;0.36948869;0.317385;91.168;10.2739324;8.237;39.23733162;20.5185;28.7555;13.58056276;6.8073;961.23;22.186288;60;2.335818863;0.877305;0.017144;1.1848;26.50189365;0.444280801
13.01.2013 06:00;0.316391098;0.271775;89.1155;3.723349435;2.98515;26.23825044;13.72085;16.706;29.29757091;14.6855;961.015;19.7536;28.28333;2.373932458;0.89162;0.0103623;1.43335;134.9903979;0.473017282
13.01.2013 07:00;0.358714337;0.30813;88.912;7.439277491;5.96435;21.52598431;11.25665;17.221;32.00877576;16.0445;961.125;12.523032;0.18333;2.279919812;0.85631;0.0112845;1.39865;57.42432799;1.161179053
13.01.2013 08:00;0.313259493;0.269085;88.2215;5.897314528;4.7281;22.18237801;11.5999;16.328;27.04820853;13.558;961.38;17.790552;0;2.443849537;0.91788;8.652195;1.11525;39.64034252;2.225596745
13.01.2013 09:00;0.367259313;0.31547;88.207;8.190770058;6.56685;24.77400964;12.95515;19.522;14.49786371;7.2671;961.47;25.10136;0.28333;2.426663142;0.911425;47.03;1.2721;33.81011739;2.126123144
13.01.2013 10:00;0.350891145;0.30141;87.4995;12.58011029;10.08595;22.14346289;11.57955;21.6655;17.03769807;8.5402;961.44;27.084704;0;2.220679332;0.83406;99.7205;1.5333;40.29695915;2.209423938
13.01.2013 11:00;0.359727161;0.309;85.876;11.37098682;9.11655;20.87733539;10.91745;20.034;20.90261136;10.4775;961.06;28.588024;0;2.109373791;0.792255;127.935;1.6207;38.07173277;2.147736364
13.01.2013 12:00;0.345553446;0.296825;84.6605;9.85322129;7.8997;23.31999959;12.1948;20.0945;22.46968378;11.263;960.455;30.212648;0;2.080578924;0.78144;91.5405;1.69995;29.79698891;1.682528418
13.01.2013 13:00;0.343033027;0.29466;82.003;9.979322366;8.0008;24.30272566;12.7087;20.7095;25.86218109;12.9635;960.28;25.407688;0;2.038058902;0.76547;89.093;1.87075;19.45597316;1.890805141
13.01.2013 14:00;0.342864223;0.294515;80.1215;13.39714798;10.741;28.3573551;14.829;25.57;26.09060858;13.078;960.14;20.228432;0;2.163076285;0.812425;76.3595;2.0333;34.33587121;1.657510067
13.01.2013 15:00;0.364197557;0.31284;79.596;16.67440394;13.3685;30.98579833;16.2035;29.572;24.34797618;12.2045;960.245;19.443024;0;2.184509357;0.820475;24.565;2.02935;49.78803329;1.73969864
13.01.2013 16:00;0.385478504;0.33112;80.3465;15.06040995;12.0745;26.76250486;13.995;26.0695;27.93099598;14.0005;960.305;20.673056;0;1.693612118;0.6361;5.31635;1.73065;61.06094059;1.697589406
13.01.2013 17:00;0.415793375;0.35716;79.993;17.87429747;14.3305;33.60085552;17.571;31.9015;22.0672923;11.0613;960.39;18.37772;0;1.729129781;0.64944;0.0211045;1.7166;46.47589523;1.245115207
13.01.2013 18:00;0.410333439;0.35247;80.4025;14.26900408;11.44;37.6300515;19.678;31.118;15.21516592;7.62665;960.495;23.851032;0;2.136611099;0.802485;0.0115558;1.54865;36.85601281;1.272484286
13.01.2013 19:00;0.391083961;0.335935;80.133;12.32765868;9.88355;33.92776157;17.74195;27.6255;15.46344366;7.7511;960.285;26.08548;0;2.201362941;0.826805;0.0147025;1.5459;34.60208248;1.494103613
13.01.2013 20:00;0.402207563;0.34549;81.6;7.789017766;6.24475;30.50820379;15.95375;22.1985;15.61546265;7.8273;960.265;28.961848;0;2.085637661;0.78334;0.009169;1.20255;33.50813564;1.391805483
13.01.2013 21:00;0.355344078;0.305235;81.1615;6.896144814;5.5289;28.15579969;14.7236;20.2525;16.29585736;8.16835;960.195;33.476056;0;2.238917412;0.84091;0.00819225;1.23075;31.83718825;2.871526515
13.01.2013 22:00;0.341053946;0.29296;81.5205;4.138447736;3.31795;25.70606001;13.44255;16.7605;18.07031002;9.0578;960.32;32.562264;0;2.07165957;0.77809;0.00949435;1.2153;25.13739083;2.575124544
13.01.2013 23:00;0.329179457;0.28276;82.414;3.629428455;2.90985;22.44675216;11.73815;14.648;20.36695389;10.209;960.31;30.083792;0;1.74887217;0.656855;0.0130205;1.06124;32.96671784;2.527052187
14.01.2013 00:00;0.336635937;0.289165;84.071;2.096944901;1.6812;19.75835863;10.3323;12.0135;20.58939638;10.3205;960.285;36.384992;0;1.482862444;0.556945;0.01144725;0.816725;26.71157835;2.36335134
14.01.2013 01:00;0.308911334;0.26535;84.5775;1.794788761;1.43895;18.04446831;9.43605;10.875;20.67617888;10.364;960.19;36.395848;0;1.410296184;0.52969;0.0147025;0.61389;31.44900708;2.178735921
14.01.2013 02:00;0.291419747;0.250325;84.8515;2.096820172;1.6811;19.11984485;9.9984;11.6795;21.24774634;10.6505;960.135;35.617992;0;1.478509268;0.55531;0.0089518;0.533335;32.38644654;1.520743853
14.01.2013 03:00;0.285855035;0.245545;85.1155;3.197928284;2.5639;19.04469183;9.9591;12.523;20.67318638;10.3625;960.04;35.369248;0;2.641007181;0.99193;0.012424;0.51803;35.42602868;1.272400596
14.01.2013 04:00;0.279312425;0.239925;85.461;3.863794353;3.09775;19.34616442;10.11675;13.2145;20.21124415;10.13095;959.775;31.381792;0;1.921508249;0.721695;0.011773;0.480615;34.6601656;0.854496689
14.01.2013 05:00;0.302275591;0.25965;85.574;8.236545622;6.60355;22.11076273;11.56245;18.166;18.04178152;9.0435;959.56;35.567488;0;2.163675346;0.81265;0.0134008;0.519385;38.98111057;0.790563883
14.01.2013 06:00;0.34108305;0.292985;84.6435;22.20364302;17.8015;37.14241743;19.423;37.2245;7.921246819;3.97055;959.575;38.557136;0;2.611639878;0.9809;0.01492;0.77214;16.58348133;1.628321507
14.01.2013 07:00;0.461021208;0.39601;85.1915;50.96616349;40.8615;51.20826985;26.7785;67.64;3.592994805;1.801;959.845;40.051488;0;2.667339242;1.00182;0.0148655;0.69864;18.64161604;1.574122885
14.01.2013 08:00;0.571523804;0.49093;84.426;51.44761765;41.2475;53.26876281;27.856;69.1035;2.251556878;1.1286;960.34;42.377504;0;2.473975651;0.929195;1.523145;0.862555;17.17385738;1.677027737
14.01.2013 09:00;0.547640947;0.470415;84.691;56.98995328;45.691;49.97579865;26.134;71.825;4.895829484;2.45405;960.785;43.085976;0;2.304494627;0.86554;22.174;0.75683;18.80234905;1.548170591
14.01.2013 10:00;0.551989106;0.47415;83.39;64.44064348;51.6645;43.49600246;22.7455;74.41;5.347497459;2.68045;961.055;42.586128;0.33333;2.506724321;0.941495;42.6135;1.08192;358.7473836;1.07466457
14.01.2013 11:00;0.436893876;0.375285;84.1385;26.41636691;21.179;34.29023623;17.9315;39.1105;6.261905659;3.1388;961.06;34.245888;0.283337;1.85758178;0.697685;45.841;1.04725;295.0766247;1.653838631
14.01.2013 12:00;0.458396014;0.393755;82.171;17.87117924;14.328;28.85646291;15.09;29.418;8.126133308;4.07325;960.58;20.953896;0.53333;1.869443189;0.70214;50.5735;0.93199;297.9863589;1.539129915
14.01.2013 13:00;0.478914433;0.41138;83.0465;27.38114616;21.9525;35.31809234;18.469;40.4215;4.637776248;2.3247;960.28;22.542648;0.25;2.287654356;0.859215;33.135;1.037385;308.6901319;1.422036463
14.01.2013 14:00;0.477889967;0.4105;82.107;26.06276004;20.8955;34.51971108;18.0515;38.947;4.376132012;2.19355;960.4;24.185208;0;2.072298569;0.77833;29.627;0.883365;301.1563856;1.808654216
14.01.2013 15:00;0.493501427;0.42391;82.1845;30.51434007;24.4645;34.87826554;18.239;42.7035;4.178327773;2.0944;960.79;22.754576;0;1.953444859;0.73369;21.4075;0.816615;303.1575426;1.706664147
14.01.2013 16:00;0.544730533;0.467915;80.4385;32.38652321;25.9655;39.36067436;20.583;46.5485;2.406478594;1.206255;961.005;19.068256;0.4;2.281810183;0.85702;5.43785;1.1194;305.5774573;1.277771607
14.01.2013 17:00;0.520958272;0.447495;78.6545;18.5771457;14.894;34.91077448;18.256;33.15;3.387011066;1.69775;961.08;19.448688;0;2.029978235;0.762435;0.023817;0.92381;301.4485589;1.670108709
14.01.2013 18:00;0.508088422;0.43644;78.0945;13.46986502;10.7993;34.61283963;18.1002;28.8995;4.42052076;2.2158;961.48;18.898336;0;2.010901469;0.75527;0.01144725;0.53478;295.9251712;1.351117808
14.01.2013 19:00;0.472651222;0.406;78.061;11.90083585;9.54135;34.89289456;18.24665;27.788;4.283963017;2.14735;961.695;19.178704;0;2.074521751;0.779165;0.0169815;0.36133;293.9516184;1.47584879
14.01.2013 20:00;0.436172094;0.374665;80.8935;7.77666959;6.23485;34.62230546;18.10515;24.34;6.348388905;3.18215;961.64;22.830096;0;1.822490116;0.684505;0.01416;-0.0706405;293.8185195;0.940815803
14.01.2013 21:00;0.523350633;0.44955;79.431;16.30975854;13.07615;39.0429473;20.41685;33.493;6.056919421;3.03605;961.335;25.1934;0;2.233658988;0.838935;0.01220705;-0.0805555;255.7957515;0.156142731
14.01.2013 22:00;0.427685327;0.367375;75.7895;8.699290422;6.97455;36.24832603;18.95545;25.93;12.8061038;6.4191;960.98;22.17968;0;2.543107295;0.95516;0.012641;0.21814;255.3298807;0.594984695
14.01.2013 23:00;0.413075049;0.354825;73.992;8.489995065;6.80675;34.66839166;18.12925;24.936;15.65695865;7.8481;960.36;23.623056;0;2.293099155;0.86126;0.013726;0.28475;188.7751571;0.792843541
15.01.2013 00:00;0.358912246;0.3083;74.7685;4.390088608;3.5197;27.14075592;14.1928;17.7125;18.06941227;9.05735;959.47;20.016504;0;2.285750673;0.8585;0.010688;0.334695;166.3588236;1.151468364
15.01.2013 01:00;0.312659947;0.26857;72.336;3.418573985;2.7408;23.40586144;12.2397;14.9805;25.15395613;12.6085;958.645;19.150384;0;2.425451707;0.91097;0.011773;0.36386;160.3301675;1.780007826
15.01.2013 02:00;0.290447668;0.24949;71.878;1.34575792;1.078945;21.05155461;11.008555;12.0875;28.53847345;14.305;958.24;14.11084;0;2.570451103;0.96543;0.0113935;0.2;160.7719251;1.569013763
15.01.2013 03:00;0.280831661;0.24123;72.464;1.896380578;1.5204;19.86123986;10.3861;11.9065;29.11103842;14.592;957.485;13.3414328;0;2.566683675;0.964015;0.012153;-0.022165;158.4889617;1.677800499
15.01.2013 04:00;0.305418838;0.26235;79.13;3.308375864;2.65245;26.36675636;13.78805;16.4405;14.77447045;7.40575;956.55;14.472864;0;2.934879902;1.102305;0.0148655;-0.454085;141.8775563;1.289347608
15.01.2013 05:00;0.381980186;0.328115;83.0535;9.107653353;7.30195;31.76419615;16.61055;23.9125;8.379697794;4.20035;955.495;19.92116;0;3.753716466;1.40985;0.0110135;-0.586025;137.1019578;1.11169559
15.01.2013 06:00;0.363109062;0.311905;81.302;21.20936535;17.00435;37.98984895;19.86615;36.8705;9.315751743;4.66955;954.625;20.249672;0;3.190199716;1.1982;0.0163305;-0.87222;156.4254074;1.420742831
15.01.2013 07:00;0.471818844;0.405285;81.5655;61.3903944;49.219;54.34825077;28.4205;77.6395;2.912679892;1.45999;954.295;22.195256;0;3.313872539;1.24465;0.0124238;-0.965365;152.982678;1.197515796
15.01.2013 08:00;0.577129261;0.495745;81.244;66.46063055;53.284;54.61788372;28.5615;81.8455;2.94332309;1.47535;954.08;19.926352;0;3.00409142;1.1283;19.767;-0.864055;139.8556743;1.189883667
15.01.2013 09:00;0.516068777;0.443295;79.0915;65.32933801;52.377;51.04190058;26.6915;79.0685;4.196083272;2.1033;954.245;17.547944;0;3.062266903;1.15015;66.6595;-0.59308;162.4969007;0.499782984
15.01.2013 10:00;0.600290335;0.51564;78.34;102.3389437;82.049;63.48039382;33.196;115.245;3.513693559;1.76125;954.68;23.219024;0;4.413748606;1.65775;121.4;-0.273835;28.30657279;0.519050363
15.01.2013 11:00;0.587624214;0.50476;73.5655;77.91761805;62.4695;56.24715519;29.4135;91.883;6.472378148;3.2443;954.5;29.143568;0;3.620458666;1.3598;161.105;0.5055;195.4165337;0.837464723
15.01.2013 12:00;0.503711159;0.43268;73.288;29.03442981;23.278;37.70080625;19.715;42.993;12.62775081;6.3297;954.285;27.226304;0;2.627827838;0.98698;143.155;0.566695;176.62009;2.214225673
15.01.2013 13:00;0.499514342;0.429075;70.0415;33.18167095;26.603;41.62291396;21.766;48.369;11.68561211;5.85745;954.045;22.492144;0;2.446219156;0.91877;95.878;1.20975;184.018047;1.718005906
15.01.2013 14:00;0.414157723;0.355755;73.2305;13.70946953;10.9914;30.62934739;16.0171;27.0085;23.9749112;12.0175;954.15;25.355296;0.249997;2.015520895;0.757005;123.08;1.24455;240.7058957;2.219100538
15.01.2013 15:00;0.421474503;0.36204;75.935;15.50506903;12.431;38.6722498;20.223;32.654;17.76427703;8.9044;954.39;23.56028;0.13333;1.85574466;0.696995;38.947;1.1944;253.2055049;1.360928998
15.01.2013 16:00;0.55532444;0.477015;82.461;42.75088417;34.275;53.71145805;28.0875;62.3625;8.874557517;4.4484;954.72;23.070344;15.93333;1.732204961;0.650595;3.022065;0.729165;252.5668782;0.730665763
15.01.2013 17:00;0.53015518;0.455395;88.016;29.09055789;23.323;53.42939521;27.94;51.263;4.199275272;2.1049;955.285;21.238984;60;1.650972284;0.620085;0.012207;0.522335;241.5947444;1.033896451
15.01.2013 18:00;0.519916344;0.4466;83.485;14.16672626;11.358;45.0592999;23.563;34.921;12.60540681;6.3185;955.53;21.58732;60;1.770890992;0.665125;0.015788;0.884725;260.7807159;1.213153104
15.01.2013 19:00;0.420374367;0.361095;80.9395;6.827481468;5.47385;35.16922053;18.39115;23.865;28.57637845;14.324;955.575;17.9954;60;1.68143121;0.631525;0.013509;0.91522;244.6580963;1.431887632
