44 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2012 06 20  2012 06 20
0.0
time in minutes since 2012-06-20 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

       470    953.32     19.55     15.98     79.84      4.05     12.20      0.00      1.67      1.71    248.00      2.75    260.00     -0.61     -1.55         0        30         0         0
       480    953.33     19.36     16.05     81.16      4.02     11.70      0.00      1.92      1.96    252.00      3.74    254.00     -0.61     -1.83         0        30         0         0
       490    953.29     19.63     16.40     81.61      4.00     13.00      0.00      1.72      1.76    240.00      2.82    253.00     -0.87     -1.49         0        30         0         0
       500    953.35     19.49     16.23     81.41      3.88      9.30      0.00      1.66      1.68    229.00      2.37    242.00     -1.09     -1.26         0        30         0         0
       510    953.27     19.51     15.88     79.55      4.09     10.30      0.00      1.65      1.69    235.00      2.88    250.00     -0.96     -1.35         0        30         0         0
       520    953.20     19.92     15.73     76.82      4.21     15.10      0.00      1.79      1.84    239.00      2.98    256.00     -0.92     -1.53         0        30         0         0
       530    953.15     20.02     15.52     75.32      4.27     20.50      0.00      2.05      2.15    233.00      3.44    234.00     -1.23     -1.65         0        30         0         0
       540    953.18     20.27     15.67     74.87      4.31     19.30      0.00      2.06      2.12    225.00      3.40    246.00     -1.46     -1.45         0        30         0         0
       550    953.15     20.45     15.78     74.59      4.28     24.10      0.00      1.85      1.90    247.00      3.59    257.00     -0.71     -1.71         0        30         0         0
       560    953.17     20.86     15.82     72.90      4.42     27.00      0.00      1.59      1.63    250.00      3.72    246.00     -0.55     -1.50         0        30         0         0
       570    953.10     21.30     15.47     69.37      4.66     40.90      0.00      2.11      2.20    241.00      4.88    242.00     -1.04     -1.84         0        30         0         0
       580    953.12     21.50     15.65     69.33      4.48     53.00      0.00      2.39      2.50    242.00      4.63    213.00     -1.12     -2.12         0        30         0         0
       590    953.22     21.34     15.37     68.77      4.47     32.20      0.00      2.80      2.90    239.00      4.90    250.00     -1.45     -2.39         0        30         0         0
       600    953.23     21.35     14.91     66.72      4.38     28.00      0.00      2.21      2.29    252.00      4.90    269.00     -0.70     -2.09         0        30         0         0
       610    953.23     21.11     14.72     66.91      4.36     22.00      0.00      2.51      2.58    246.00      4.97    255.00     -1.01     -2.30         0        30         0         0
       620    953.31     21.31     14.23     63.99      4.33     23.20      0.00      2.86      2.91    244.00      5.72    243.00     -1.24     -2.57         0        30         0         0
       630    953.36     21.07     14.23     64.97      4.24     20.50      0.00      2.61      2.70    232.00      4.60    228.00     -1.61     -2.05         0        30         0         0
       640    953.32     21.19     15.31     69.15      4.39     20.70      0.00      2.12      2.20    232.00      3.69    229.00     -1.29     -1.69         0        30         0         0
       650    953.20     21.16     14.13     64.19      4.33     27.30      0.00      2.88      2.99    250.00      5.31    267.00     -1.01     -2.69         0        30         0         0
       660    953.37     20.66     14.28     66.82      4.09     17.20      0.00      2.80      2.92    236.00      4.96    236.00     -1.56     -2.33         0        30         0         0
       670    953.44     20.41     14.02     66.73      3.81      8.90      0.00      3.16      3.22    232.00      5.15    252.00     -1.93     -2.49         0        30         0         0
       680    953.69     20.01     14.50     70.58      3.62      5.50      0.00      2.94      3.02    241.00      6.09    256.00     -1.43     -2.57         0        30         0         0
       690    953.93     20.23     14.01     67.43      3.11      3.20      0.00      3.63      3.70    252.00      8.30    261.00     -1.15     -3.44         0        30         0         0
       700    953.84     19.35     14.84     75.16      3.13      1.60      0.00      2.61      2.65    250.00      5.89    249.00     -0.88     -2.46         0        30         0         0
       710    953.58     18.82     15.22     79.62      3.56      2.50      0.00      2.16      2.21    258.00      4.80    268.00     -0.43     -2.11         0        30         0         0
       720    953.29     18.13     15.83     86.39      3.45      3.50      0.00      1.39      1.71    277.00      3.52    255.00      0.16     -1.38         0        30         0         0
       730    953.69     17.96     16.32     90.12      3.47      2.30      0.00      1.60      1.67    246.00      3.31    265.00     -0.65     -1.47         0        30         0         0
       740    953.97     18.07     16.34     89.63      3.80      4.90      0.00      1.66      1.73    217.00      3.33    237.00     -1.33     -0.99         0        30         0         0
       750    953.96     18.19     16.43     89.47      3.57      5.40      0.00      1.38      1.41    216.00      2.38    202.00     -1.12     -0.80         0        40         0         0
       760    953.87     18.16     16.28     88.78      3.81      4.10      0.00      1.50      1.53    240.00      2.25    249.00     -0.76     -1.30         0        30         0         0
       770    953.84     18.72     16.50     86.96      4.43     15.80      0.00      1.62      1.65    219.00      2.38    202.00     -1.26     -1.02         0        30         0         0
       780    953.57     19.94     16.87     82.47      4.58     53.20      0.00      0.98      1.05    226.00      1.90    198.00     -0.68     -0.71         0        30         0         0
       790    953.37     20.50     17.15     81.09      4.45     49.40      0.00      1.04      1.17    226.00      2.25    201.00     -0.72     -0.74         0        30         0         0
       800    953.18     19.99     16.35     79.58      4.42     28.90      0.00      0.84      0.90    249.00      1.71    263.00     -0.30     -0.79         0        30         0         0
       810    953.07     20.57     17.74     83.83      4.63     44.40      0.00      0.75      1.01     87.00      1.93    111.00      0.04      0.75         0        30         0         0
       820    953.11     21.05     17.64     80.88      4.55     47.90      0.00      0.61      0.84     59.00      1.94     35.00      0.31      0.52         0        30         0         0
       830    953.04     20.24     16.42     78.70      4.48     35.80      0.00      0.86      1.10    140.00      2.18    196.00     -0.65      0.56         0        40         0         0
       840    952.85     20.62     15.66     73.22      4.41     37.20      0.00      0.47      0.84    174.00      2.63    189.00     -0.47      0.05         0        40         0         0
       850    952.78     20.57     15.44     72.42      4.45     33.50      0.00      0.99      1.14    178.00      3.01    176.00     -0.99      0.03         0        40         0         0
       860    952.72     20.77     15.64     72.48      4.47     36.10      0.00      0.95      1.09    181.00      2.15    208.00     -0.95     -0.01         0        40         0         0
       870    952.69     21.04     15.39     70.14      4.71     50.10      0.00      1.42      1.49    192.00      2.82    203.00     -1.38     -0.29         0        40         0         0
       880    952.62     20.66     15.36     71.68      4.46     37.20      0.00      1.48      1.71    184.00      3.79    192.00     -1.48     -0.10         0        40         0         0
       890    952.51     21.59     16.04     70.70  99999.00  99999.00  99999.00      1.44      1.54    190.00      3.61    175.00     -1.42     -0.24         0        30      9999         0
       900    952.47     21.21     15.83     71.37  99999.00  99999.00  99999.00      1.65      1.86    213.00      3.48    219.00     -1.38     -0.91         0        40      9999         0
       910    952.38     21.15     15.77     71.38  99999.00  99999.00  99999.00      1.07      1.25    178.00      2.73    188.00     -1.07      0.04         0        40      9999         0
       920    952.18     21.17     15.94     72.04  99999.00  99999.00  99999.00      0.64      0.91     23.00      2.39     57.00      0.59      0.25         0        40      9999         0
       930    952.04     22.49     16.96     70.91  99999.00  99999.00  99999.00      0.30      1.08    211.00      2.60    203.00     -0.26     -0.15         0        30      9999         0
       940    951.97     22.35     16.21     68.20  99999.00  99999.00  99999.00      0.77      1.23    181.00      3.23    112.00     -0.77     -0.02         0        40      9999         0
       950    951.81     22.56     16.52     68.69  99999.00  99999.00  99999.00      0.61      1.06    193.00      2.33    190.00     -0.59     -0.14         0        50      9999         0
       960    951.76     22.31     15.54     65.51  99999.00  99999.00  99999.00      1.35      1.54    250.00      2.98    256.00     -0.45     -1.27         0        50      9999         0
       970    951.69     22.66     16.49     68.12  99999.00  99999.00  99999.00      0.47      0.74    177.00      1.81    174.00     -0.47      0.03         0        40      9999         0
       980    951.61     21.61     15.86     69.77  99999.00  99999.00  99999.00      0.90      1.18    190.00      2.28    255.00     -0.88     -0.16         0        50      9999         0
       990    951.52     21.35     16.06     71.82  99999.00  99999.00  99999.00      0.94      1.20    179.00      2.52    187.00     -0.94      0.01         0        50      9999         0
      1000    951.42     21.72     15.85     69.29  99999.00  99999.00  99999.00      0.80      1.03    188.00      3.61    194.00     -0.79     -0.11         0        40      9999         0
      1010    951.70     21.92     16.23     70.12  99999.00  99999.00  99999.00      1.11      1.19    190.00      2.42    187.00     -1.09     -0.19         0        40      9999         0
      1020    951.61     21.49     16.27     72.18  99999.00  99999.00  99999.00      1.28      1.43    197.00      2.52    187.00     -1.23     -0.37         0        40      9999         0
      1030    951.71     20.95     16.51     75.76  99999.00  99999.00  99999.00      0.90      1.03    178.00      2.38    195.00     -0.90      0.04         0        40      9999         0
      1040    951.80     20.18     17.34     83.73  99999.00  99999.00  99999.00      0.54      0.59    134.00      1.53    122.00     -0.37      0.39         0        40      9999         0
      1050    951.87     19.55     17.47     87.81  99999.00  99999.00  99999.00      0.36      0.40    120.00      1.30    148.00     -0.18      0.31         0        50      9999         0
      1060    951.98     19.54     17.59     88.48  99999.00  99999.00  99999.00      0.17      0.53     94.00      1.12     27.00     -0.01      0.17         0        40      9999         0
      1070    952.04     19.74     17.15     85.01  99999.00  99999.00  99999.00      0.62      1.08    186.00      2.53    288.00     -0.61     -0.07         0        30      9999         0
      1080    951.91     18.96     17.29     90.07  99999.00  99999.00  99999.00      0.84      1.38    355.00      2.53    342.00      0.83     -0.07         0        30      9999         0
      1090    952.11     19.20     17.20     88.23  99999.00  99999.00  99999.00      0.92      0.99    287.00      2.11    275.00      0.27     -0.88         0        30      9999         0
      1100    952.17     18.78     17.09     89.87  99999.00  99999.00  99999.00      0.89      0.99    327.00      2.44    341.00      0.75     -0.48         0        40      9999         0
      1110    952.09     18.21     17.65     96.50  99999.00  99999.00  99999.00      0.58      0.77     86.00      1.21     66.00      0.04      0.58         0        40      9999         0
      1120    952.08     18.26     17.79     97.12  99999.00  99999.00  99999.00      0.82      0.84    139.00      1.36    144.00     -0.62      0.54         0        40      9999         0
      1130    952.17     18.12     17.70     97.40  99999.00  99999.00  99999.00      0.89      0.96    145.00      1.63    169.00     -0.73      0.51         0        50      9999         0
      1140    952.14     18.03     17.57     97.13  99999.00  99999.00  99999.00      0.99      1.13    132.00      1.71    111.00     -0.67      0.73         0        50      9999         0
      1150    952.04     17.91     17.43     97.00  99999.00  99999.00  99999.00      0.90      0.91    115.00      1.26    108.00     -0.38      0.82         0        50      9999         0
      1160    952.00     17.70     17.18     96.75  99999.00  99999.00  99999.00      0.69      0.73    109.00      1.22    145.00     -0.22      0.66         0        50      9999         0
      1170    952.02     17.39     16.95     97.22  99999.00  99999.00  99999.00      0.68      0.81    111.00      1.36    126.00     -0.25      0.63         0        50      9999         0
      1180    952.02     17.41     16.88     96.73  99999.00  99999.00  99999.00      0.80      0.82     89.00      1.20     85.00      0.02      0.80         0        40      9999         0
      1190    952.06     17.35     16.89     97.08  99999.00  99999.00  99999.00      0.91      0.92     95.00      1.32     99.00     -0.07      0.91         0        40      9999         0
      1200    952.12     17.29     16.88     97.42  99999.00  99999.00  99999.00      0.74      0.75    105.00      1.12    117.00     -0.19      0.71         0        50      9999         0
      1210    952.15     17.44     16.95     96.99  99999.00  99999.00  99999.00      0.54      0.57    111.00      0.92    103.00     -0.19      0.50         0        40      9999         0
      1220    952.20     18.12     15.91     86.91  99999.00  99999.00  99999.00      0.33      0.55    286.00      1.50    274.00      0.09     -0.32         0        40      9999         0
      1230    952.25     17.46     16.07     91.52  99999.00  99999.00  99999.00      0.69      0.75    280.00      1.99    288.00      0.12     -0.68         0        40      9999         0
      1240    952.20     16.93     16.38     96.57  99999.00  99999.00  99999.00      0.68      0.74    102.00      1.26    108.00     -0.14      0.66         0        40      9999         0
